business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,violation_id,violation_description,risk_category
4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,4864_20161206,12/6/16,84,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
3838,CAFE PICARO,3120 16th St,94103,37.764908,-122.422442,"(37.764908, -122.422442)",14155434089,3838_20180222,2/22/18,72,3838_20180222_103142,Unclean nonfood contact surfaces,Low Risk
